Metric,Baseline,Tuned Model
Accuracy,0.7202505219206681,0.7721816283924844
Precision,0.43912591050988553,0.5300146412884333
Recall,0.4418848167539267,0.7581151832460733
F1-score,0.4405010438413361,0.6238690219732874
ROC-AUC,0.6279253949449234,0.8014760503505869
