Metric,Baseline,Tuned Model
Accuracy,0.7831419624217119,0.7969728601252609
Precision,0.5746987951807229,0.5697399527186762
Recall,0.49947643979057593,0.7570680628272252
F1-score,0.534453781512605,0.6501798561151079
ROC-AUC,0.80498119223231,0.8167992400460775
