Metric,Baseline,Tuned Model
Accuracy,0.7881002087682673,0.7703549060542797
Precision,0.6155088852988692,0.5265017667844523
Recall,0.39895287958115183,0.7801047120418848
F1-score,0.4841168996188056,0.6286919831223629
ROC-AUC,0.8082817871291904,0.809262666353659
