Feature,Coefficient,Absolute_Coefficient
city_city_21,0.4231592526616881,0.4231592526616881
company_size_nan,0.3566161338818617,0.3566161338818617
city_development_index,-0.3409244714214278,0.3409244714214278
education_level_High School,-0.17133867466077768,0.17133867466077768
company_type_nan,0.17019794904544466,0.17019794904544466
experience,-0.14485626915047992,0.14485626915047992
education_level_Primary School,-0.13998681808892485,0.13998681808892485
major_discipline_nan,-0.13747503580759343,0.13747503580759343
city_city_136,-0.13007214340186102,0.13007214340186102
company_size_100-500,-0.12873642123518755,0.12873642123518755
company_size_50-99,-0.12521557110442497,0.12521557110442497
last_new_job,0.11002499765181813,0.11002499765181813
enrolled_university_no_enrollment,-0.10995084892446155,0.10995084892446155
city_city_16,-0.10015448597116539,0.10015448597116539
city_city_11,0.09935022435240208,0.09935022435240208
city_city_114,-0.0970695190606529,0.0970695190606529
city_city_104,-0.08839422681668697,0.08839422681668697
city_city_39,-0.08791691872430131,0.08791691872430131
relevent_experience_No relevent experience,0.08750016866844694,0.08750016866844694
city_city_105,-0.08595908945163919,0.08595908945163919
city_city_67,-0.08465221240490337,0.08465221240490337
city_city_103,0.08227081944920281,0.08227081944920281
education_level_nan,-0.0791385882965109,0.0791385882965109
company_size_500-999,-0.07886042130196778,0.07886042130196778
city_city_97,-0.07677873608654873,0.07677873608654873
city_city_138,-0.07555845089942,0.07555845089942
company_type_Funded Startup,-0.0736002085742799,0.0736002085742799
company_size_1000-4999,-0.07244630839571282,0.07244630839571282
city_city_65,-0.07115143516554276,0.07115143516554276
company_size_<10,-0.07109315567309635,0.07109315567309635
company_size_10000+,-0.07096433381784094,0.07096433381784094
city_city_7,-0.07059688343079498,0.07059688343079498
city_city_2,-0.06945307280265087,0.06945307280265087
company_type_Public Sector,0.06861623958658193,0.06861623958658193
city_city_75,-0.0669784867438858,0.0669784867438858
city_city_57,-0.06354419362866784,0.06354419362866784
city_city_74,0.06281599200121779,0.06281599200121779
city_city_77,-0.059572957199135426,0.059572957199135426
city_city_64,-0.05874803916414607,0.05874803916414607
education_level_Masters,-0.05634173793508106,0.05634173793508106
city_city_155,0.05556268734656863,0.05556268734656863
city_city_128,0.05523510468827695,0.05523510468827695
city_city_36,-0.05511288940926041,0.05511288940926041
city_city_111,-0.054825328788421834,0.054825328788421834
city_city_62,-0.05370937871122997,0.05370937871122997
city_city_173,-0.053604101562902455,0.053604101562902455
city_city_50,-0.051230780343978356,0.051230780343978356
city_city_116,-0.05083420890554615,0.05083420890554615
city_city_82,-0.045490634972317305,0.045490634972317305
city_city_160,0.04538400895841984,0.04538400895841984
city_city_149,-0.04367684996462385,0.04367684996462385
city_city_98,-0.04250290483286537,0.04250290483286537
city_city_8,-0.042487106187078745,0.042487106187078745
company_size_5000-9999,-0.04235623243412912,0.04235623243412912
city_city_23,-0.042165936664495404,0.042165936664495404
city_city_61,-0.04196253781188364,0.04196253781188364
city_city_102,-0.04084130769783938,0.04084130769783938
city_city_159,-0.04051492306919994,0.04051492306919994
enrolled_university_nan,-0.03737295340833431,0.03737295340833431
major_discipline_STEM,0.03733791214978517,0.03733791214978517
city_city_129,-0.03693697165955424,0.03693697165955424
city_city_42,0.036894281001251666,0.036894281001251666
city_city_145,0.036120678658821306,0.036120678658821306
city_city_28,-0.03539861365405264,0.03539861365405264
city_city_121,-0.03531980934143087,0.03531980934143087
training_hours,-0.03493839876899419,0.03493839876899419
city_city_20,-0.034301109809760436,0.034301109809760436
city_city_171,0.03393167824435137,0.03393167824435137
city_city_37,-0.033453769773589395,0.033453769773589395
